variant_id,memory_target_pct,ram_bytes,recomputation_multiplier,total_attacker_cost_units
candidate-004-baseline,100.0,16777216,1.0,1.0
candidate-004-baseline,75.0,12582912,1.6783777978576033,2.2378370638101375
candidate-004-baseline,50.0,8388608,3.4822022531844965,6.964404506368993
candidate-004-baseline,25.0,4194304,12.125732532083186,48.50293012833274
candidate-004-baseline,12.5,2097152,42.22425314473263,337.79402515786103
candidate-004-baseline,6.25,1048576,147.0333894396205,2352.534231033928
candidate-004-opt-001,100.0,16777216,1.0,1.0
candidate-004-opt-001,75.0,12582912,1.6783777978576033,2.2378370638101375
candidate-004-opt-001,50.0,8388608,3.4822022531844965,6.964404506368993
candidate-004-opt-001,25.0,4194304,12.125732532083186,48.50293012833274
candidate-004-opt-001,12.5,2097152,42.22425314473263,337.79402515786103
candidate-004-opt-001,6.25,1048576,147.0333894396205,2352.534231033928
candidate-004-opt-002,100.0,16777216,1.0,1.0
candidate-004-opt-002,75.0,12582912,1.6783777978576033,2.2378370638101375
candidate-004-opt-002,50.0,8388608,3.4822022531844965,6.964404506368993
candidate-004-opt-002,25.0,4194304,12.125732532083186,48.50293012833274
candidate-004-opt-002,12.5,2097152,42.22425314473263,337.79402515786103
candidate-004-opt-002,6.25,1048576,147.0333894396205,2352.534231033928
candidate-004-opt-003,100.0,16777216,1.0,1.0
candidate-004-opt-003,75.0,12582912,1.6783777978576033,2.2378370638101375
candidate-004-opt-003,50.0,8388608,3.4822022531844965,6.964404506368993
candidate-004-opt-003,25.0,4194304,12.125732532083186,48.50293012833274
candidate-004-opt-003,12.5,2097152,42.22425314473263,337.79402515786103
candidate-004-opt-003,6.25,1048576,147.0333894396205,2352.534231033928
candidate-004-opt-004,100.0,16777216,1.0,1.0
candidate-004-opt-004,75.0,12582912,1.6783777978576033,2.2378370638101375
candidate-004-opt-004,50.0,8388608,3.4822022531844965,6.964404506368993
candidate-004-opt-004,25.0,4194304,12.125732532083186,48.50293012833274
candidate-004-opt-004,12.5,2097152,42.22425314473263,337.79402515786103
candidate-004-opt-004,6.25,1048576,147.0333894396205,2352.534231033928
