candidate_id,working_set_bytes,median_latency_ms,p95_latency_ms,single_cpu_qps,multicore_16c_qps
candidate-001,67108864,413.6542,416.44399999999996,1.373419470247059,16.481033642964707
candidate-001,33554432,206.56840000000003,232.6592,2.6070601775812596,31.284722130975116
candidate-001,16777216,103.3933,103.765,4.413417764486682,52.961013173840186
candidate-001,8388608,57.1613,58.7303,10.790526021741961,129.48631226090353
candidate-001,4194304,26.189400000000003,32.5015,23.728737627361625,284.7448515283395
candidate-002,67108864,86.6208,103.0552,1.2087960471634311,14.505552565961173
candidate-002,33554432,86.702,126.9861,2.4213819884667833,29.0565838616014
candidate-002,16777216,57.7755,73.6024,4.723945297015793,56.68734356418952
candidate-002,8388608,19.1116,30.096899999999998,8.660936729501417,103.931240754017
candidate-002,4194304,15.3422,19.3702,17.289123523042047,207.46948227650455
candidate-003,67108864,0.053399999999999996,0.054599999999999996,8037.551440329218,96450.61728395062
candidate-003,33554432,0.048900000000000006,0.0522,7160.4513948559315,85925.41673827117
candidate-003,16777216,0.045399999999999996,0.0504,6482.057664384982,77784.69197261978
candidate-003,8388608,0.0557,0.1643,7974.481658692185,95693.77990430623
candidate-003,4194304,0.047599999999999996,0.0627,7464.469126955691,89573.62952346829
candidate-004,67108864,48.5752,68.81429999999999,5.370685808650198,64.44822970380238
candidate-004,33554432,30.9848,41.1455,11.494436784551771,137.93324141462125
candidate-004,16777216,16.632,18.318399999999997,28.201037753067652,338.4124530368118
candidate-004,8388608,7.791799999999999,9.0648,55.39189098166838,664.7026917800206
candidate-004,4194304,5.1938,6.7131,102.17927967694999,1226.1513561233999
candidate-005,67108864,879.4532,1128.3823,0.10389444374384958,1.246733324926195
candidate-005,33554432,387.3016,424.8087,0.2004796975557509,2.405756370669011
candidate-005,16777216,222.3527,262.5719,0.4201989938728397,5.042387926474077
candidate-005,8388608,104.9197,107.51230000000001,0.8535498492948487,10.242598191538184
candidate-005,4194304,29.5122,41.6852,1.7475415620256254,20.970498744307505
candidate-006,67108864,36.3541,36.864399999999996,7.210951601015856,86.53141921219027
candidate-006,33554432,25.0697,26.7434,15.922323517921468,191.0678822150576
candidate-006,16777216,11.173300000000001,13.9367,31.878793257609725,382.5455190913167
candidate-006,8388608,5.8,6.011500000000001,60.817040448197254,729.8044853783671
candidate-006,4194304,4.1765,4.5265,111.13541272135951,1333.6249526563142
candidate-007,67108864,43.4864,44.269000000000005,7.251946306357485,87.02335567628982
candidate-007,33554432,27.9339,28.296499999999998,15.913177702455402,190.95813242946483
candidate-007,16777216,14.466,14.658,32.21187061548123,386.5424473857748
candidate-007,8388608,8.5027,9.3522,57.46024785133148,689.5229742159778
candidate-007,4194304,3.7764,4.5313,120.88331858556847,1450.5998230268217
candidate-008,67108864,0.8298,1.0778999999999999,447.1056170772885,5365.267404927462
candidate-008,33554432,0.8154,1.4266999999999999,496.94280784613056,5963.313694153567
candidate-008,16777216,0.8421000000000001,1.5949,443.11156485735347,5317.338778288242
candidate-008,8388608,0.8398,1.1351,456.6760559263765,5480.112671116518
candidate-008,4194304,0.8489,1.1922,467.88616516755945,5614.633982010713
