suite,profile,status,passed,failed,command,notes
production_workspace,debug,PASS,97,0,cargo test [types format core kdf ffi] --lib --tests,integration+unit+ffi
production_workspace,release,PASS,97,0,cargo test --release [types format core kdf ffi] --lib --tests,release-like optimized+sanitizer
reference_impl,debug,PASS,2,0,cargo test -p antech-kdf-reference --lib,research parity crate (not production SOT)
reference_impl,release,PASS,2,0,cargo test -p antech-kdf-reference --lib --release,research parity crate
