strategy,memory_frac,checkpoint_stride,pristine_cap,correct,gps,baseline_gps,tmto_cost_factor,nodes_recomputed,mix_pairs,scatters_replayed,est_attacker_mib,latency_ms
full_packed,1,1,524288,true,7.604057,7.941386,1.044362,0,1572765,0,16.0000,131.5087
sparse_checkpoint,0.75,4,393216,false,0.000000,7.941386,20269.375000,10626465792,1572766,0,16.0000,inf
sparse_checkpoint,0.5,4,262144,false,0.000000,7.941386,60310.750000,31619678208,1572766,0,12.0000,inf
sparse_checkpoint,0.25,8,131072,false,0.000000,7.941386,79442.500000,41650225152,1572766,0,8.0000,inf
sparse_checkpoint,0.125,16,65536,false,0.000000,7.941386,60549.500000,31744851968,1572766,0,6.0000,inf
