gpu_model,vram_gb,working_set_mb,max_parallel_threads,simulated_guesses_per_sec,classification,bottleneck_description
NVIDIA RTX 4090 (24GB VRAM),24,16,1500,23061.8,MODELED,Spatial VRAM Allocation Limit (24GB / 16MB) & u64 ARX Sequential Chain
NVIDIA H100 SXM (80GB HBM3),80,16,5000,76872.6,MODELED,HBM3 Memory Bus Saturation & Thread Scheduling Occupancy
