candidate_id,family_name,working_set_bytes,median_latency_ms,p95_latency_ms,estimated_bandwidth_gb_per_sec,cache_locality_tier,cache_hit_pct,dram_traffic_pct,single_cpu_guesses_per_sec,multicore_16c_guesses_per_sec,gpu_simulated_parallel_guesses_per_sec,ram_reduction_attacker_scaling_factor,status,main_weakness
candidate-003,Family C — Sequential Dependency Chain,67108864,0.053399999999999996,0.054599999999999996,1933.4880123743233,DRAM Memory Bus (>16MB),10.0,90.0,8037.551440329218,96450.61728395062,2469135.802469136,1.0,FAILED,Attacker throughput scales proportionally with RAM reduction
candidate-003,Family C — Sequential Dependency Chain,33554432,0.048900000000000006,0.0522,1012.9659643435979,DRAM Memory Bus (>16MB),10.0,90.0,7160.4513948559315,85925.41673827117,4399381.336999484,1.781749441484791,FAILED,Attacker throughput scales proportionally with RAM reduction
candidate-003,Family C — Sequential Dependency Chain,16777216,0.045399999999999996,0.0504,536.9415807560138,L3 Cache Hit (256KB-16MB),80.0,20.0,6482.057664384982,77784.69197261978,7965152.457996266,3.2258867454884874,FAILED,Attacker throughput scales proportionally with RAM reduction
candidate-003,Family C — Sequential Dependency Chain,8388608,0.0557,0.1643,160.79238487265243,L3 Cache Hit (256KB-16MB),80.0,20.0,7974.481658692185,95693.77990430623,19598086.124401916,7.937224880382774,FAILED,Attacker throughput scales proportionally with RAM reduction
candidate-003,Family C — Sequential Dependency Chain,4194304,0.047599999999999996,0.0627,124.25447316103377,L3 Cache Hit (256KB-16MB),80.0,20.0,7464.469126955691,89573.62952346829,36689358.652812615,14.859190254389107,FAILED,Attacker throughput scales proportionally with RAM reduction
