label,gpu_simulated_parallel_guesses_per_sec
baseline-120,25957.373548109757
sweep-500000,8881.859986382304
sweep-1000000,4898.758785763222
sweep-1800000,3012.644132147399
equalized-2500000,2336.260693839767
equalized-passes-200,2371.9644915680215
