variant,threads,total_guesses,duration_secs,guesses_per_sec,scaling_efficiency
compute-memory-optimized,1,4,0.3958,10.1073,1.0000
compute-memory-optimized,2,6,0.3168,18.9412,0.9370
compute-memory-optimized,4,12,0.3828,31.3519,0.7755
compute-memory-optimized,8,20,0.4246,47.1064,0.5826
compute-memory-optimized,16,26,0.5112,50.8592,0.3145
compute-memory-optimized,32,32,0.7515,42.5821,0.1317
