memory_mib,num_blocks,mix_pairs,parent_gathers,scatters,unique_parents,far_hits,frontier_hits,gps_1thread,latency_ms
12,393216,1179549,1965963,786302,393215,1178838,787125,10.184045,98.193
16,524288,1572762,2621322,1048446,524287,1572048,1049274,7.498535,133.359
24,786432,2359198,3932043,1572734,786431,2358460,1573583,4.546024,219.972
32,1048576,3145628,5242758,2097022,1048575,3144879,2097879,3.483148,287.097
