threads,argon2id_guesses_per_sec,antech_v2_guesses_per_sec,antech_over_argon_ratio,argon2id_scaling_eff,antech_scaling_eff
1,10.6981,13.0397,1.2189,1.0000,1.0000
2,15.5767,23.9924,1.5403,0.7280,0.9200
4,20.7430,45.0824,2.1734,0.4847,0.8643
8,22.7929,68.3297,2.9979,0.2663,0.6550
16,20.4159,76.0677,3.7259,0.1193,0.3646
32,21.9609,69.0724,3.1452,0.0641,0.1655
