threads,argon2id_p50_ms,antech_v2_p50_ms,argon2id_p95_ms,antech_v2_p95_ms,argon2id_ram_mib,antech_ram_mib,argon2id_throughput,antech_throughput
1,97.710,75.520,123.401,85.942,64.00,16.00,10.0022,13.0788
2,120.311,78.155,135.914,86.584,64.00,16.00,16.2351,25.1144
4,184.978,86.307,219.437,103.980,64.00,16.00,21.1764,42.0887
8,350.773,119.359,380.415,134.082,64.00,16.00,22.7273,65.9603
16,710.236,203.730,816.643,278.332,64.00,16.00,22.6077,73.9786
32,1292.529,354.544,1530.085,497.880,64.00,16.00,23.5306,74.6766
