label,memory_kib,dependency_depth,passes,defender_median_latency_ms,defender_p95_latency_ms,defender_p99_latency_ms,dram_bandwidth_gb_per_sec,single_cpu_guesses_per_sec,multicore_16c_guesses_per_sec,gpu_simulated_parallel_guesses_per_sec,equalized_against_argon2id,status
baseline-120,16384,120,1,12.1877,12.1877,12.1877,5.213372927162924,21.124164671313277,253.4899760557593,25957.373548109757,false,CHEAPER_THAN_ARGON2ID
sweep-500000,16384,500000,1,60.920500000000004,60.920500000000004,60.920500000000004,1.0304204857484605,7.228076160792891,86.73691392951469,8881.859986382304,false,CHEAPER_THAN_ARGON2ID
sweep-1000000,16384,1000000,1,131.8477,131.8477,131.8477,0.4858006305303543,3.9866201056015798,47.83944126721896,4898.758785763222,false,CHEAPER_THAN_ARGON2ID
sweep-1800000,16384,1800000,1,190.6957,190.6957,190.6957,0.33288043840087433,2.451696071083495,29.420352853001944,3012.644132147399,false,CHEAPER_THAN_ARGON2ID
equalized-2500000,16384,2500000,1,257.9237,257.9237,257.9237,0.24265436700211204,1.9012538198565812,22.815045838278973,2336.260693839767,true,EQUALIZED
equalized-passes-200,16384,12000,200,244.59310000000002,244.59310000000002,244.59310000000002,52.26376308710759,1.9303096448307466,23.16371573796896,2371.9644915680215,true,EQUALIZED
