label,memory_kib,dependency_depth,passes,defender_median_latency_ms,defender_p95_latency_ms,dram_bandwidth_gb_per_sec
baseline-120,16384,120,1,12.1877,12.1877,5.213372927162924
sweep-500000,16384,500000,1,60.920500000000004,60.920500000000004,1.0304204857484605
sweep-1000000,16384,1000000,1,131.8477,131.8477,0.4858006305303543
sweep-1800000,16384,1800000,1,190.6957,190.6957,0.33288043840087433
equalized-2500000,16384,2500000,1,257.9237,257.9237,0.24265436700211204
equalized-passes-200,16384,12000,200,244.59310000000002,244.59310000000002,52.26376308710759
