scenario,isolated_latency_ms,contended_latency_ms,degradation_pct
Variant K1 (16MB) + Unrelated DRAM Churn,108.0,115.0,6.48
Variant K2 (16MB) + Unrelated DRAM Churn,112.0,119.5,6.7
Variant K3 (16MB) + Unrelated DRAM Churn,115.0,123.2,7.13
Variant K4 (16MB) + Unrelated DRAM Churn,100.0,106.8,6.8
