algorithm,parameters,memory_bytes_read,memory_bytes_written,total_bandwidth_bytes,estimated_bandwidth_gb_per_sec,median_latency_ms,cache_locality_tier,bandwidth_classification
argon2id,"memory_kib=65536,time_cost=2,parallelism=2",134217728,134217728,268435456,0.797952135639096,105.4759,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=65536,time_cost=2,parallelism=4",134217728,134217728,268435456,0.850168656458068,98.4705,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=65536,time_cost=3,parallelism=1",201326592,201326592,402653184,0.8790345341023206,142.2572,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=65536,time_cost=3,parallelism=2",201326592,201326592,402653184,0.8695583617427711,144.1295,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=65536,time_cost=3,parallelism=4",201326592,201326592,402653184,0.9089915260173979,137.62079999999997,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=65536,time_cost=4,parallelism=1",268435456,268435456,536870912,0.933674560262624,176.2919,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=65536,time_cost=4,parallelism=2",268435456,268435456,536870912,0.9426952524547312,175.52960000000002,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=65536,time_cost=4,parallelism=4",268435456,268435456,536870912,0.973567828178519,170.8439,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=131072,time_cost=1,parallelism=1",134217728,134217728,268435456,0.7387331376773995,112.17280000000001,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=131072,time_cost=1,parallelism=2",134217728,134217728,268435456,0.6353592143097128,116.9996,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=131072,time_cost=1,parallelism=4",134217728,134217728,268435456,0.7035358869434715,118.1744,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=131072,time_cost=2,parallelism=1",268435456,268435456,536870912,0.8458201766004864,196.0032,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=131072,time_cost=2,parallelism=2",268435456,268435456,536870912,0.8176890341686082,202.4209,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=131072,time_cost=2,parallelism=4",268435456,268435456,536870912,0.8182372649142969,199.2738,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=131072,time_cost=3,parallelism=1",402653184,402653184,805306368,0.7126848882771413,343.8408,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=131072,time_cost=3,parallelism=2",402653184,402653184,805306368,0.6592363985687011,386.78200000000004,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=131072,time_cost=3,parallelism=4",402653184,402653184,805306368,0.7367366769521656,346.09929999999997,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=131072,time_cost=4,parallelism=1",536870912,536870912,1073741824,0.7542309148843626,457.648,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=131072,time_cost=4,parallelism=2",536870912,536870912,1073741824,0.7752259492932458,394.2639,DRAM Memory Bus (>16MB),Estimated
argon2id,"memory_kib=131072,time_cost=4,parallelism=4",536870912,536870912,1073741824,0.8326559677036065,409.37760000000003,DRAM Memory Bus (>16MB),Estimated
scrypt,"N=1024,r=8,p=1",1048576,1048576,2097152,0.3499157962627873,1.8247,L3 Cache Hit (256KB-16MB),Estimated
scrypt,"N=1024,r=8,p=2",1048576,1048576,2097152,0.19105577728215362,3.4261,L3 Cache Hit (256KB-16MB),Estimated
scrypt,"N=1024,r=16,p=1",2097152,2097152,4194304,0.3628859945747092,3.5694,L3 Cache Hit (256KB-16MB),Estimated
scrypt,"N=1024,r=16,p=2",2097152,2097152,4194304,0.1888537033455811,7.0083,L3 Cache Hit (256KB-16MB),Estimated
scrypt,"N=4096,r=8,p=1",4194304,4194304,8388608,0.3547653213208849,7.2889,L3 Cache Hit (256KB-16MB),Estimated
scrypt,"N=4096,r=8,p=2",4194304,4194304,8388608,0.18338685295249896,14.0793,L3 Cache Hit (256KB-16MB),Estimated
scrypt,"N=4096,r=16,p=1",8388608,8388608,16777216,0.3482437371846304,15.067,L3 Cache Hit (256KB-16MB),Estimated
scrypt,"N=4096,r=16,p=2",8388608,8388608,16777216,0.1814339377260667,28.7046,L3 Cache Hit (256KB-16MB),Estimated
scrypt,"N=16384,r=8,p=1",16777216,16777216,33554432,0.3464273638817602,29.8768,L3 Cache Hit (256KB-16MB),Estimated
scrypt,"N=16384,r=8,p=2",16777216,16777216,33554432,0.18102635280269344,57.615,L3 Cache Hit (256KB-16MB),Estimated
scrypt,"N=16384,r=16,p=1",33554432,33554432,67108864,0.34904423311910393,59.7181,DRAM Memory Bus (>16MB),Estimated
scrypt,"N=16384,r=16,p=2",33554432,33554432,67108864,0.18097110542942274,115.2311,DRAM Memory Bus (>16MB),Estimated
scrypt,"N=65536,r=8,p=1",67108864,67108864,134217728,0.3244008057596974,125.7006,DRAM Memory Bus (>16MB),Estimated
scrypt,"N=65536,r=8,p=2",67108864,67108864,134217728,0.17530858518398426,237.0537,DRAM Memory Bus (>16MB),Estimated
scrypt,"N=65536,r=16,p=1",134217728,134217728,268435456,0.31489302957828014,258.883,DRAM Memory Bus (>16MB),Estimated
scrypt,"N=65536,r=16,p=2",134217728,134217728,268435456,0.17322914085552468,480.2086,DRAM Memory Bus (>16MB),Estimated
bcrypt,cost=4,65536,65536,131072,0.04909915232081088,0.82,L1/L2 Cache Hit (<256KB),Estimated
bcrypt,cost=6,262144,262144,524288,0.05071998026384128,3.1982,L1/L2 Cache Hit (<256KB),Estimated
bcrypt,cost=8,1048576,1048576,2097152,0.05116844159756881,12.683399999999999,L1/L2 Cache Hit (<256KB),Estimated
bcrypt,cost=10,4194304,4194304,8388608,0.05123112071724225,50.8215,L1/L2 Cache Hit (<256KB),Estimated
pbkdf2-sha256,iterations=1000,64000,64000,128000,0.39226485538262995,0.1003,L1/L2 Cache Hit (<256KB),Estimated
pbkdf2-sha256,iterations=10000,640000,640000,1280000,0.39604415133149923,1.0037,L1/L2 Cache Hit (<256KB),Estimated
pbkdf2-sha256,iterations=50000,3200000,3200000,6400000,0.3980356519689251,4.991899999999999,L1/L2 Cache Hit (<256KB),Estimated
pbkdf2-sha256,iterations=100000,6400000,6400000,12800000,0.37851188330162777,10.616999999999999,L1/L2 Cache Hit (<256KB),Estimated
