algorithm,version,parameters,cpu,cores,ram_gib,os,iterations,warmup_iterations,median_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms,latency_classification,requested_allocation_bytes,resident_memory_bytes,kdf_working_memory_bytes,ram_classification,bytes_read,bytes_written,estimated_bandwidth_gb_per_sec,cache_locality_tier,bandwidth_classification
pbkdf2-sha256,0.12.0,iterations=1000,Host CPU (12 logical cores),12,32,windows,3,1,0.1003,0.1003,0.1033,0.1033,0.1003,0.1033,Measured,64,0,64,Estimated,64000,64000,0.39226485538262995,L1/L2 Cache Hit (<256KB),Estimated
pbkdf2-sha256,0.12.0,iterations=10000,Host CPU (12 logical cores),12,32,windows,3,1,1.0037,1.0037,1.0098,1.0098,0.9964999999999999,1.0098,Measured,64,0,64,Estimated,640000,640000,0.39604415133149923,L1/L2 Cache Hit (<256KB),Estimated
pbkdf2-sha256,0.12.0,iterations=50000,Host CPU (12 logical cores),12,32,windows,3,1,4.991899999999999,4.991899999999999,5.007700000000001,5.007700000000001,4.975099999999999,5.007700000000001,Measured,64,0,64,Estimated,3200000,3200000,0.3980356519689251,L1/L2 Cache Hit (<256KB),Estimated
pbkdf2-sha256,0.12.0,iterations=100000,Host CPU (12 logical cores),12,32,windows,3,1,10.616999999999999,10.616999999999999,10.857199999999999,10.857199999999999,10.02,10.857199999999999,Measured,64,0,64,Estimated,6400000,6400000,0.37851188330162777,L1/L2 Cache Hit (<256KB),Estimated
