label,gpu_model,simulated_gpu_qps,max_parallel_threads,vram_usage_gb,classification
variant-a-batch-resistant,NVIDIA RTX 4090 (24GB VRAM),11200.0,1500,23.4,MODELED
variant-b-stronger-tmto,NVIDIA RTX 4090 (24GB VRAM),8400.0,1500,23.4,MODELED
variant-c-gpu-unfriendly,NVIDIA RTX 4090 (24GB VRAM),6100.0,1500,23.4,MODELED
variant-d-blake-arx,NVIDIA RTX 4090 (24GB VRAM),9100.0,1500,23.4,MODELED
