thread_count,candidate_guesses_per_sec,wall_clock_ms
1,72.38089723360211,442.1056
2,155.69010856952414,205.53650000000002
4,229.40860612047823,139.4891
8,293.1807083429151,109.1477
16,287.222202276236,111.41199999999999
32,276.443314866344,115.7561
