variant,memory_mib,dram_bytes_est,dram_bandwidth_gbps
v3-a-sequential-cut,16,58720256,0.4691
v3-a-sequential-cut,16,58720256,0.4496
v3-a-sequential-cut,16,58720256,0.4146
v3-a-sequential-cut,16,58720256,0.3667
v3-a-sequential-cut,16,58720256,0.2223
v3-a-sequential-cut,16,58720256,0.1167
v3-b-recursive,16,58720256,0.2456
v3-b-recursive,16,58720256,0.2579
v3-b-recursive,16,58720256,0.2351
v3-b-recursive,16,58720256,0.1864
v3-b-recursive,16,58720256,0.0974
v3-b-recursive,16,58720256,0.0482
v3-c-narrow-frontier,16,58720256,0.2212
v3-c-narrow-frontier,16,58720256,0.2027
v3-c-narrow-frontier,16,58720256,0.1873
v3-c-narrow-frontier,16,58720256,0.1572
v3-c-narrow-frontier,16,58720256,0.0938
v3-c-narrow-frontier,16,58720256,0.0481
